Experimental Method,Release Date,Ligand,Value,Symbol,Type,Unit,PDB ID,Molecular Weight per Deposited Model,Number of Distinct DNA Entities,Number of Distinct Protein Entities,Resolution (Å),Stucture Keywords
X-RAY DIFFRACTION,2000-01-15,HP2,11000.0,,Kd,nM,1CVX,7.42,1.0,,2.27,DNA
X-RAY DIFFRACTION,2000-01-15,IPY,380.0,,Kd,nM,1CVY,7.39,1.0,,2.15,DNA
SOLUTION NMR,2000-02-03,AAR,100000.0,,Kd,nM,1DB6,6.9,1.0,,,DNA
SOLUTION NMR,2003-08-26,DDI,2540.0,,Kd,nM,1P96,8.49,2.0,,,DNA
SOLUTION NMR,2003-09-23,DNA,500000.0,,Kd,nM,1Q2T,7.77,1.0,,,DNA
SOLUTION NMR,1999-10-12,CCI,1.0,,Kd,nM,1QMS,9.34,2.0,,,DNA
X-RAY DIFFRACTION,2004-09-07,MBB,124.0,,Kd,nM,1QV4,7.79,1.0,,2.5,DNA
X-RAY DIFFRACTION,2004-09-07,BBZ,114.0,,Kd,nM,1QV8,7.78,1.0,,2.5,DNA
SOLUTION NMR,2004-04-27,DDI,5330.0,,Kd,nM,1R4E,8.49,2.0,,,DNA
SOLUTION NMR,2012-03-14,C4Q,2200.0,,Kd,nM,2LOA,3.42,1.0,,,DNA
X-RAY DIFFRACTION,1998-10-19,HP1,344.0,,Kd,nM,407D,7.54,1.0,,2.2,DNA
X-RAY DIFFRACTION,1998-10-19,IPY,48.0,,Kd,nM,408D,7.39,1.0,,2.1,DNA
X-RAY DIFFRACTION,2000-02-21,RHM,10.0,,Kd,nM,454D,27.78,1.0,,1.2,DNA
